CLG,The Planning Inspectorate,www.planning-inspectorate.gov.uk/pins
CLG,Thurrock Development Corporation,www.thurrocktgdc.org.uk
CLG,Urban Design Compendium,www.urbandesigncompendium.co.uk
CLG,Valuation Tribunal,www.valuationtribunal.gov.uk
CLG,West Northants Development Corporation,www.wndc.co.uk
CO,alpha.gov.uk,www.alpha.gov.uk
CO,Big Lottery Fund,www.biglotteryfund.org.uk 
CO,Buying Solutions:,www.buyingsolutions.gov.uk
CO,Cabinet Office,www.cabinetoffice.gov.uk
CO,Cabinet Office Relocation Initiative,www.csvacs.gov.uk
CO,Central Office of Information (COI),www.coi.gov.uk
CO,Civil Service,www.civilservice.gov.uk
CO,Civil Service Appeal Board,www.civilserviceappealboard.gov.uk
CO,Committee on Standards in Public Life,www.public-standards.org.uk
CO,Compact Week 2010,www.compactweek.org.uk
CO,data.gov.uk,www.data.gov.uk
CO,Directgov,www.direct.gov.uk
CO,Faststream,faststream.civilservice.gov.uk
CO,Funding Central,www.fundingcentral.org.uk
CO,Her Majesty's Government,www.hmg.gov.uk
CO,Independent .gov,www.independent.gov.uk
CO,Innovation Launch Pad,www.innovationlaunchpad.cabinetoffice.gov.uk
CO,Office of Government Commerce,www.ogc.gov.uk
CO,Red Tape Challenge,www.redtapechallenge.cabinetoffice.gov.uk 
CO,Social Enterprise Ambassadors ,socialenterpriseambassadors.org.uk
CO,The Carbon Calculator,carboncalculator.direct.gov.uk
CO,UK and Afghanistan,afghanistan.hmg.gov.uk/en
CROWN,The Crown Estate,www.thecrownestate.co.uk
DCMS,Active Places,activeplaces.com
DCMS,Advisory Committee on the Government Art Collection,www.gac.culture.gov.uk
DCMS,Arts Council,www.artscouncil.org.uk 
DCMS,Cultural Property Advice,www.culturalpropertyadvice.gov.uk
DCMS,"Department for Culture, Media and Sport (DCMS)",www.culture.gov.uk
DCMS,Digital Television,www.digitaltelevision.gov.uk
DCMS,Football Licensing Authority,www.flaweb.org.uk
DCMS,Gambling Commission,www.gamblingcommission.gov.uk
DCMS,Heritage Lottery Fund,www.hlf.org.uk
DCMS,Horserace Betting Levy Board,www.hblb.org.uk
DCMS,Inspiring Learning for All,www.inspiringlearning.gov.uk
